Dataset,Tamaño Ventana,Tiempo Medio,Fitnes Medio,Tipo de Cruce,Tipo de Mutacion,Tipo de Reemplazo
Heart_Rate_P4,10,1.3364003896713257,0.7162031929911639,2.0,1.0,3.0
Heart_Rate_P4,10,1.566702953974406,0.7452265585464629,2.0,2.0,1.0
Heart_Rate_P4,10,1.5455422480901082,0.6774989062699862,2.0,2.0,2.0
Heart_Rate_P4,10,1.3523911714553833,0.7060768438887159,2.0,2.0,3.0
Heart_Rate_P4,10,1.5454331080118815,0.7413431185318603,2.0,3.0,1.0
Heart_Rate_P4,10,1.5383448998133342,0.6585734961230755,2.0,3.0,2.0
Heart_Rate_P4,10,1.3405506610870361,0.7049846813932472,2.0,3.0,3.0
Synthetic_1,10,1.414347529411316,0.5860921659274984,1.0,1.0,1.0
Synthetic_1,10,1.4025501966476441,0.5201961113771438,1.0,1.0,2.0
Synthetic_1,10,1.4248133977254231,0.46468828810282253,1.0,1.0,3.0
Synthetic_1,10,1.5539796749750774,0.3043534704011286,1.0,2.0,1.0
Synthetic_1,10,1.5965968449910481,0.282768221451647,1.0,2.0,2.0
Synthetic_1,10,1.413680132230123,0.404847992337057,1.0,2.0,3.0
Synthetic_1,10,1.5805319627126058,0.2708650259471534,1.0,3.0,1.0
Synthetic_1,10,1.595586109161377,0.3078853864542493,1.0,3.0,2.0
Synthetic_1,10,1.4244129021962484,0.3743024939395309,1.0,3.0,3.0
Synthetic_1,10,1.5121795654296875,0.5990983975322915,2.0,1.0,1.0
Synthetic_1,10,1.4778875509897869,0.49054206784215154,2.0,1.0,2.0
Synthetic_1,10,1.508328413963318,0.5244150818955335,2.0,1.0,3.0
Synthetic_1,10,1.60440141359965,0.46257120268513297,2.0,2.0,1.0
Synthetic_1,10,1.7229995568593344,0.3043691671695263,2.0,2.0,2.0
Synthetic_1,10,1.5501550277074179,0.41513144819533493,2.0,2.0,3.0
Synthetic_1,10,1.604180677731832,0.4376754921537931,2.0,3.0,1.0
Synthetic_1,10,1.7275605122248332,0.2809877668901854,2.0,3.0,2.0
Synthetic_1,10,1.5493767023086549,0.423405545263083,2.0,3.0,3.0
Synthetic_2,10,1.4493425925572714,0.6122559522306299,1.0,1.0,1.0
Synthetic_2,10,1.462088418006897,0.4424300900734476,1.0,1.0,2.0
Synthetic_2,10,1.4939089139302573,0.4170246405878098,1.0,1.0,3.0
Synthetic_2,10,1.5597600221633912,0.37007990939338664,1.0,2.0,1.0
Synthetic_2,10,1.5767918427785237,0.2977529123813737,1.0,2.0,2.0
Synthetic_2,10,1.413607120513916,0.3603589625312912,1.0,2.0,3.0
Synthetic_2,10,1.559347915649414,0.367634977933431,1.0,3.0,1.0
Synthetic_2,10,1.5776901880900065,0.2939324683739345,1.0,3.0,2.0
Synthetic_2,10,1.4130616982777913,0.3603589625312912,1.0,3.0,3.0
Synthetic_2,10,1.5629430850346884,0.6199827017095617,2.0,1.0,1.0
Synthetic_2,10,1.6533044258753458,0.3468221125161884,2.0,1.0,2.0
Synthetic_2,10,1.6498525857925415,0.41968698111032526,2.0,1.0,3.0
Synthetic_2,10,1.703438639640808,0.38086340086237713,2.0,2.0,1.0
Synthetic_2,10,1.6687429030736287,0.2975078068198124,2.0,2.0,2.0
Synthetic_2,10,1.5584666887919107,0.32414906099675805,2.0,2.0,3.0
Synthetic_2,10,1.7075746059417725,0.3739896653470439,2.0,3.0,1.0
Synthetic_2,10,1.6750665108362834,0.29535066150523076,2.0,3.0,2.0
Synthetic_2,10,1.5585372845331829,0.32414906099675805,2.0,3.0,3.0
Synthetic_3,10,1.3648260752360026,0.7643790897010566,1.0,1.0,1.0
Synthetic_3,10,1.3768152077992757,0.6577245305186517,1.0,1.0,2.0
Synthetic_3,10,1.4047432899475099,0.6606694989902995,1.0,1.0,3.0
Synthetic_3,10,1.5038435618082682,0.5487171470419026,1.0,2.0,1.0
Synthetic_3,10,1.5125357468922933,0.4478708986105702,1.0,2.0,2.0
Synthetic_3,10,1.357507332166036,0.5281928662658886,1.0,2.0,3.0
Synthetic_3,10,1.502430256207784,0.5465106958981798,1.0,3.0,1.0
Synthetic_3,10,1.5118454535802206,0.4480113029712631,1.0,3.0,2.0
Synthetic_3,10,1.35651699701945,0.5325833674068581,1.0,3.0,3.0
Synthetic_3,10,1.5960658152898153,0.6720441691780462,2.0,1.0,1.0
Synthetic_3,10,1.5078471342722575,0.5826699705587449,2.0,1.0,2.0
Synthetic_3,10,1.5222048044204712,0.5767892816645092,2.0,1.0,3.0
Synthetic_3,10,1.6702041228612263,0.5965886687266942,2.0,2.0,1.0
