Dataset,1_1_1,1_1_2,1_1_3,1_2_1,1_2_2,1_2_3,1_3_1,1_3_2,1_3_3,2_1_1,2_1_2,2_1_3,2_2_1,2_2_2,2_2_3,2_3_1,2_3_2,2_3_3
Synthetic_3_250,0.3195974429448445,0.3190726518630981,0.3208416223526001,0.3113365888595581,0.3245870192845662,0.3122196594874064,0.3114817301432291,0.3242893298467,0.3134855349858602,0.3456275304158528,0.3451045751571655,0.3508989572525024,0.3355323314666748,0.3492363055547078,0.3399000883102417,0.3367847681045532,0.3510514815648397,0.3409423271814982
Synthetic_3_200,0.3727893670399984,0.3739837487538656,0.3763346195220947,0.367812697092692,0.381352154413859,0.370169989267985,0.3673770586649577,0.3806836128234863,0.370017131169637,0.4040614366531372,0.4011773029963175,0.406201179822286,0.3937337001164754,0.406592869758606,0.3948170741399129,0.3955905596415202,0.408644167582194,0.3969379742940267
Synthetic_3_125,0.8053876161575317,0.7697471141815185,0.7432617584864298,0.7846445719401042,0.6371354500452677,0.6581562121709188,0.7832018136978149,0.6370471556981404,0.6581179062525432,0.8529808441797893,0.8383966128031413,0.8576323827107747,0.9006012360254924,0.6710348288218181,0.7304093678792317,0.9054237683614096,0.6735435803731282,0.7319164911905924
Synthetic_3_100,0.8766979217529297,0.8180720408757528,0.9048799753189088,0.6975104252497355,0.714220921198527,0.7004302183787028,0.6983527104059856,0.7136933406194051,0.6961422046025594,1.06974089940389,0.9690188725789388,0.8719602743784587,0.7274704058965047,0.7433659474054972,0.722315780321757,0.7344309488932291,0.7461600621541341,0.7256139993667603
Synthetic_4_250,0.3212680339813232,0.3209229310353597,0.3206340312957764,0.3204902489980062,0.3277073939641317,0.3170272986094157,0.3203469435373942,0.3275802453358968,0.3176148811976115,0.3443559885025024,0.3458732684453328,0.3471106608708699,0.3422443389892578,0.3549024025599162,0.3427809715270996,0.3428362846374512,0.3567243893941244,0.3453769207000732
Synthetic_4_200,0.3844705820083618,0.3748267730077108,0.3752289692560832,0.3668100516001383,0.3804671923319498,0.3683065970738728,0.3667205095291138,0.3809782902399699,0.3663975238800049,0.4021956841150919,0.4064822514851888,0.4061713298161825,0.3925133307774862,0.4041676123936971,0.3938583612442016,0.3935317913691202,0.4062161286671956,0.3953498045603434
Synthetic_4_125,0.7520161787668864,0.7362558205922445,0.7583886861801148,0.7356229782104492,0.6405722141265869,0.6549100557963053,0.7345600128173828,0.6388645013173421,0.6483286062876383,0.8142167806625367,0.7754203955332438,0.851785929997762,0.9043411254882812,0.6767147620519002,0.7298543771107991,0.904941701889038,0.6794979890187581,0.7333260933558147
Synthetic_4_100,0.8831146637598674,0.8283778349558513,0.883719269434611,0.679971178372701,0.687180757522583,0.6753880818684895,0.6795912663141886,0.6866662820180257,0.669213326772054,1.1132840394973755,1.0072133461634318,0.896543550491333,0.7066418329874674,0.7132049878438314,0.699152135848999,0.7098445415496826,0.715858260790507,0.7020801703135172
Synthetic_5_250,0.3210926214853922,0.320116114616394,0.3197831471761068,0.3105894247690836,0.3229837735493978,0.3102066040039062,0.3109470764795939,0.3241499821345011,0.3091502825419108,0.3454212824503581,0.345247491200765,0.3474870681762695,0.3379960457483927,0.3503643989562988,0.3401060183842977,0.3371599912643432,0.3509867588678996,0.3393267472585042
Synthetic_5_200,0.3800496101379395,0.3792948166529337,0.3757272005081177,0.3666783253351847,0.3810071945190429,0.3679101785024007,0.3668699105580648,0.3801385243733724,0.364503812789917,0.4034252564112345,0.4014579693476359,0.4058924277623494,0.3960490385691325,0.407300583521525,0.3962227662404378,0.395870820681254,0.4088280359903971,0.3962526877721151
Synthetic_5_125,0.7820945183436075,0.7925609032313029,0.7969421943028768,0.56511017481486,0.578389581044515,0.5602139234542847,0.5666977961858114,0.5771519184112549,0.5574411392211914,0.9163192828496296,0.9180442333221436,0.8479092280069987,0.5960999488830566,0.5985885063807169,0.5852681159973144,0.5974205652872722,0.6010579109191895,0.5869509696960449
Synthetic_5_100,0.8431709130605062,0.8226770003636678,0.84678848584493,0.7186235984166464,0.720665454864502,0.7053109248479207,0.7198642015457153,0.7201730807622274,0.6994799375534058,1.0285401185353598,0.8864617824554444,0.9900688727696736,0.7398102680842081,0.750356650352478,0.7395331541697184,0.7417368809382121,0.7524958451588949,0.74082932472229
