Dataset,Tamaño Ventana,Tiempo Medio,Fitnes Medio,Tipo de Cruce,Tipo de Mutacion,Tipo de Reemplazo
Daily_Temperatures,365,0.693520991007487,1.8890357401521831,1,3,3
Daily_Temperatures,365,1.029576547940572,2.1114272773990312,2,1,1
Daily_Temperatures,365,0.9715116024017334,1.9429392247218062,2,1,2
Daily_Temperatures,365,0.9386930068333944,1.9485252657574028,2,1,3
Daily_Temperatures,365,0.7267251253128052,1.8890357401521831,2,2,1
Daily_Temperatures,365,0.7399318377176921,1.8890357401521831,2,2,2
Daily_Temperatures,365,0.7218541224797567,1.8890357401521831,2,2,3
Daily_Temperatures,365,0.7310627778371175,1.8890357401521831,2,3,1
Daily_Temperatures,365,0.7439974387486775,1.8890357401521831,2,3,2
Daily_Temperatures,365,0.7248098611831665,1.8890357401521831,2,3,3
Heart_Rate_P1,600,0.30275493462880454,0.8698118557975728,1,1,1
Heart_Rate_P1,600,0.30436661243438723,0.8698118557975728,1,1,2
Heart_Rate_P1,600,0.30367106596628823,0.8698118557975728,1,1,3
Heart_Rate_P1,600,0.2675593137741089,0.8698118557975728,1,2,1
Heart_Rate_P1,600,0.2828399499257406,0.8698118557975728,1,2,2
Heart_Rate_P1,600,0.26911874612172443,0.8698118557975728,1,2,3
Heart_Rate_P1,600,0.267606258392334,0.8698118557975728,1,3,1
Heart_Rate_P1,600,0.2823844750722249,0.8698118557975728,1,3,2
Heart_Rate_P1,600,0.26907484531402587,0.8698118557975728,1,3,3
Heart_Rate_P1,600,0.33435439268747963,0.8698118557975728,2,1,1
Heart_Rate_P1,600,0.3353371779123942,0.8698118557975728,2,1,2
Heart_Rate_P1,600,0.3349504868189494,0.8698118557975728,2,1,3
Heart_Rate_P1,600,0.2934785763422648,0.8698118557975728,2,2,1
Heart_Rate_P1,600,0.30939536889394126,0.8698118557975728,2,2,2
Heart_Rate_P1,600,0.2970283031463623,0.8698118557975728,2,2,3
Heart_Rate_P1,600,0.29406622250874836,0.8698118557975728,2,3,1
Heart_Rate_P1,600,0.3093320687611898,0.8698118557975728,2,3,2
Heart_Rate_P1,600,0.29845680395762125,0.8698118557975728,2,3,3
Heart_Rate_P1,450,0.36362419923146566,1.1462791008465627,1,1,1
Heart_Rate_P1,450,0.362618080774943,1.1462791008465627,1,1,2
Heart_Rate_P1,450,0.36207093397776285,1.1462791008465627,1,1,3
Heart_Rate_P1,450,0.3174172560373942,1.1462791008465627,1,2,1
Heart_Rate_P1,450,0.33127779960632325,1.1462791008465627,1,2,2
Heart_Rate_P1,450,0.3180429458618164,1.1462791008465627,1,2,3
Heart_Rate_P1,450,0.3183651844660441,1.1462791008465627,1,3,1
Heart_Rate_P1,450,0.33094008763631183,1.1462791008465627,1,3,2
Heart_Rate_P1,450,0.3179948170979818,1.1462791008465627,1,3,3
Heart_Rate_P1,450,0.3939422289530436,1.1462791008465627,2,1,1
Heart_Rate_P1,450,0.39376423358917234,1.1462791008465627,2,1,2
Heart_Rate_P1,450,0.39219715595245364,1.1462791008465627,2,1,3
Heart_Rate_P1,450,0.34133453369140626,1.1462791008465627,2,2,1
Heart_Rate_P1,450,0.3581988334655762,1.1462791008465627,2,2,2
Heart_Rate_P1,450,0.343638547261556,1.1462791008465627,2,2,3
Heart_Rate_P1,450,0.3435930808385213,1.1462791008465627,2,3,1
Heart_Rate_P1,450,0.35853604475657147,1.1462791008465627,2,3,2
Heart_Rate_P1,450,0.3465517203013102,1.1462791008465627,2,3,3
Heart_Rate_P1,360,0.3795220613479614,1.442634364118841,1,1,1
Heart_Rate_P1,360,0.37946191628774006,1.4411150018868588,1,1,2
Heart_Rate_P1,360,0.3817549228668213,1.4411150018868588,1,1,3
Heart_Rate_P1,360,0.3722088098526001,1.4411150018868588,1,2,1
Heart_Rate_P1,360,0.3867686907450358,1.4411150018868588,1,2,2
Heart_Rate_P1,360,0.3709988832473755,1.4411150018868588,1,2,3
Heart_Rate_P1,360,0.3704766352971395,1.4411150018868588,1,3,1
Heart_Rate_P1,360,0.3856587727864583,1.4411150018868588,1,3,2
Heart_Rate_P1,360,0.3724024375279745,1.4411150018868588,1,3,3
Heart_Rate_P1,360,0.4080194075902303,1.4411150018868588,2,1,1
Heart_Rate_P1,360,0.40857948462168375,1.4411150018868588,2,1,2
